"ID","Address","Latitude","Longitude","IsAStudio","Beds","Baths","Size","SizeUnit","LotSize","LotSizeUnit","BuiltInYear"
2121978635,"829 Folsom St UNIT 906, San Francisco, CA",37781429,-122401860,False,1.0,1.0,557.0,"sqft","","",2010.0
89239580,"690 Market St UNIT 1705, San Francisco, CA",37788246,-122403198,False,2.0,2.0,1050.0,"sqft","","",2007.0
15131782,"401 Grand View Ave APT 3, San Francisco, CA",37752157,-122442356,False,2.0,2.0,937.0,"sqft","","",1983.0
15179502,"250 Concord St, San Francisco, CA",37710141,-122442063,False,4.0,3.0,1574.0,"sqft",1947.0,"sqft",1959.0
52266124,"88 King St APT 317, San Francisco, CA",37780630,-122389635,False,2.0,2.0,1205.0,"sqft","","",2000.0
2100994004,"409 Miguel St, San Francisco, CA",37736625,-122427008,False,1.0,1.0,400.0,"sqft","","",""
15067755,"1250 Clay St APT 306, San Francisco, CA",37793575,-122413670,False,1.0,1.0,541.0,"sqft","","",1950.0
15112556,"1819 26th Ave, San Francisco, CA",37753480,-122484273,False,2.0,1.0,1175.0,"sqft",2996.0,"sqft",1939.0
15133321,"365 Magellan Ave, San Francisco, CA",37744952,-122463110,False,5.0,3.5,3094.0,"sqft",3920.0,"sqft",1926.0
61288341,"710 Masonic Ave, San Francisco, CA",37774719,-122445912,False,2.0,1.0,1405.0,"sqft","","",1914.0
15163807,"554 Anderson St, San Francisco, CA",37736454,-122415593,False,2.0,1.0,1015.0,"sqft",1751.0,"sqft",1910.0
15180778,"3709 25th St, San Francisco, CA",37750214,-122423153,False,2.0,1.0,1160.0,"sqft",750.0,"sqft",1925.0
79844821,"638 19th St UNIT 10, San Francisco, CA",37762084,-122389007,False,3.0,2.5,1467.0,"sqft","","",2007.0
15115459,"2076 14th Ave, San Francisco, CA",37749428,-122470497,False,2.0,1.0,1374.0,"sqft",3484.0,"sqft",1941.0
15183957,"112 Chenery St, San Francisco, CA",37739540,-122425828,False,3.0,2.0,1235.0,"sqft",1742.0,"sqft",1927.0
15072153,"1353 Green St, San Francisco, CA",37797685,-122421335,False,2.0,2.0,1764.0,"sqft","","",1941.0
119685526,"1902 Filbert St, San Francisco, CA",37798831,-122431053,False,1.0,2.0,1000.0,"sqft","","",1920.0
15099711,"886 30th Ave, San Francisco, CA",37772625,-122489280,False,2.0,3.0,1990.0,"sqft",2375.0,"sqft",1929.0
15065946,"44 Macondray Ln APT 2E, San Francisco, CA",37799474,-122414835,False,2.0,2.0,1165.0,"sqft","","",1980.0
