"ID","DateOfSale","SalePrice","SalePriceUnit"
15165953,"1/5/16",650000.0,"$"
80749447,"11/10/15",1.15,"$M"
15155751,"11/10/15",665000.0,"$"
15143887,"12/31/15",2.1,"$M"
15117639,"12/23/15",1.35,"$M"
124852113,"11/10/15",825000.0,"$"
15124281,"12/18/15",625000.0,"$"
80743040,"12/16/15",1.48,"$M"
15134909,"12/4/15",1.09,"$M"
15071070,"12/2/15",718000.0,"$"
15154370,"12/11/15",410000.0,"$"
15090866,"11/17/15",1.44,"$M"
2100901630,"2/4/16",1.07,"$M"
15139810,"12/18/15",1.41,"$M"
2100994004,"12/9/15",510000.0,"$"
15088159,"12/22/15",1.21,"$M"
15080609,"12/1/15",3.13,"$M"
15064391,"12/15/15",835000.0,"$"
15188066,"11/18/15",638500.0,"$"
15163807,"1/22/16",920000.0,"$"
59779633,"11/20/15",900000.0,"$"
15159610,"12/16/15",403000.0,"$"
15187751,"12/16/15",1.01,"$M"
15164877,"12/11/15",1.05,"$M"
15152307,"12/15/15",1.14,"$M"
15084143,"11/20/15",1.57,"$M"
15081147,"11/16/15",3.65,"$M"
15197844,"12/31/15",1.35,"$M"
15185909,"12/1/15",1.45,"$M"
15144522,"12/11/15",957000.0,"$"
119685912,"12/23/15",2.0,"$M"
63196600,"12/8/15",930000.0,"$"
64972688,"12/30/15",1.5,"$M"
15163518,"12/28/15",255000.0,"$"
15148570,"11/23/15",810000.0,"$"
15126767,"11/13/15",915000.0,"$"
15076978,"12/21/15",895000.0,"$"
63197063,"12/3/15",1.57,"$M"
15197241,"12/4/15",1.05,"$M"
15191204,"12/18/15",810000.0,"$"
96018886,"11/16/15",1.23,"$M"
59700145,"12/3/15",1.18,"$M"
15078460,"11/12/15",1.25,"$M"
15079836,"11/25/15",7.1,"$M"
15078940,"11/10/15",1.68,"$M"
15183908,"11/12/15",1.65,"$M"
15174828,"11/13/15",678000.0,"$"
15069883,"12/21/15",2.55,"$M"
15156203,"12/4/15",860000.0,"$"
2124214951,"1/15/16",390000.0,"$"
61325251,"1/21/16",878000.0,"$"
15068592,"12/1/15",790000.0,"$"
15196282,"12/10/15",830000.0,"$"
15068767,"12/31/15",2.49,"$M"
15092835,"11/24/15",700000.0,"$"
15156378,"12/30/15",180000.0,"$"
114314023,"12/18/15",800000.0,"$"
53153554,"12/1/15",100000.0,"$"
15161979,"12/1/15",1.95,"$M"
54854510,"11/30/15",1.16,"$M"
15133509,"11/30/15",990000.0,"$"
15114643,"12/22/15",800000.0,"$"
15147528,"12/9/15",1.55,"$M"
64971339,"11/17/15",538000.0,"$"
80751734,"12/15/15",750000.0,"$"
80745091,"2/3/16",908000.0,"$"
15157891,"12/22/15",768000.0,"$"
80747693,"12/30/15",1.35,"$M"
15172839,"12/15/15",850000.0,"$"
15066085,"11/12/15",908000.0,"$"
61288454,"11/10/15",950000.0,"$"
15143976,"12/10/15",1.49,"$M"
15116598,"12/22/15",905000.0,"$"
2100831589,"11/22/15",1.23,"$M"
15156520,"11/20/15",905000.0,"$"
15074558,"12/8/15",2.71,"$M"
15103364,"12/17/15",1.18,"$M"
83153276,"11/12/15",690000.0,"$"
15137378,"12/11/15",2.72,"$M"
15196201,"12/23/15",1.0,"$M"
15121661,"11/30/15",905000.0,"$"
64972644,"12/11/15",1.25,"$M"
69817812,"12/11/15",975000.0,"$"
69817917,"1/4/16",995000.0,"$"
2100628935,"1/12/16",995000.0,"$"
2121221385,"11/30/15",1.43,"$M"
15157264,"12/11/15",553000.0,"$"
89236772,"12/15/15",810000.0,"$"
15182794,"11/13/15",873529.0,"$"
15172689,"12/29/15",880000.0,"$"
15199248,"11/12/15",685000.0,"$"
15102806,"12/11/15",1.15,"$M"
15168186,"12/8/15",975000.0,"$"
2100695464,"11/24/15",4.5,"$M"
15149977,"12/16/15",232500.0,"$"
48188598,"12/29/15",1.18,"$M"
15180783,"12/10/15",2.29,"$M"
15186758,"11/25/15",850000.0,"$"
15123561,"12/22/15",1.01,"$M"
15093745,"12/31/15",897000.0,"$"
15137860,"12/29/15",1.1,"$M"
15065810,"11/25/15",2.25,"$M"
119685946,"12/17/15",1.3,"$M"
15094244,"12/10/15",1.48,"$M"
15151740,"11/24/15",640000.0,"$"
80755226,"11/18/15",1.25,"$M"
15124706,"12/7/15",1.05,"$M"
15175282,"11/10/15",23000.0,"$"
15114102,"12/10/15",2.88,"$M"
2099906560,"11/23/15",1.64,"$M"
15160369,"11/23/15",1.22,"$M"
79845444,"1/28/16",555000.0,"$"
2100170419,"2/4/16",1.25,"$M"
15072951,"11/25/15",1.76,"$M"
89240438,"12/16/15",2.55,"$M"
15099711,"11/12/15",1.38,"$M"
61325028,"2/7/16",885000.0,"$"
15154832,"11/13/15",375000.0,"$"
15084385,"11/25/15",1.5,"$M"
80732028,"12/23/15",760000.0,"$"
15101068,"11/25/15",1.1,"$M"
15133807,"11/25/15",1.57,"$M"
15064044,"12/11/15",1.5,"$M"
15103467,"11/11/15",1.13,"$M"
15153559,"11/17/15",780000.0,"$"
54487721,"2/7/16",825000.0,"$"
80735111,"12/17/15",2.85,"$M"
64972712,"11/20/15",860000.0,"$"
15194192,"11/27/15",800000.0,"$"
59700177,"12/22/15",353000.0,"$"
15179263,"1/14/16",920000.0,"$"
15119582,"12/24/15",1.62,"$M"
15199573,"1/29/16",1.56,"$M"
15063609,"11/12/15",5.6,"$M"
2128308939,"12/10/15",830000.0,"$"
89239642,"12/11/15",1.52,"$M"
72549972,"11/18/15",349000.0,"$"
89239155,"12/8/15",19500.0,"$"
15141807,"11/10/15",1.45,"$M"
69819845,"11/20/15",815000.0,"$"
15076294,"11/16/15",170000.0,"$"
15082795,"11/19/15",1.07,"$M"
125115962,"12/22/15",1.21,"$M"
15174292,"12/22/15",588000.0,"$"
15081334,"11/30/15",1.87,"$M"
15166222,"12/29/15",317500.0,"$"
15167071,"12/18/15",1.25,"$M"
122245120,"12/11/15",1.22,"$M"
15179953,"12/8/15",839500.0,"$"
15179361,"11/25/15",981000.0,"$"
15141477,"1/14/16",1.6,"$M"
2100992607,"1/15/16",1.55,"$M"
15064640,"1/14/16",4.05,"$M"
15184575,"12/16/15",1.26,"$M"
15072263,"11/20/15",2.5,"$M"
15183874,"12/15/15",1.1,"$M"
60825591,"1/5/16",968000.0,"$"
15198845,"12/24/15",15000.0,"$"
15077725,"1/5/16",555000.0,"$"
15111575,"12/16/15",1.5,"$M"
15094694,"12/9/15",1.24,"$M"
15106658,"12/4/15",1.48,"$M"
15085696,"11/25/15",4.5,"$M"
58532731,"11/18/15",1.7,"$M"
114318108,"12/24/15",675000.0,"$"
15159823,"11/19/15",1.08,"$M"
15118458,"11/20/15",1.03,"$M"
15187172,"11/12/15",2.1,"$M"
80734665,"12/20/15",1.48,"$M"
15103472,"12/2/15",1.04,"$M"
15104925,"11/18/15",1.29,"$M"
15077572,"11/30/15",830000.0,"$"
15161660,"11/30/15",1.52,"$M"
15153995,"12/15/15",500000.0,"$"
15183957,"11/13/15",1.68,"$M"
15104676,"12/7/15",1.14,"$M"
15102663,"12/15/15",780000.0,"$"
15168015,"12/7/15",191000.0,"$"
80750787,"11/18/15",1.12,"$M"
2100861826,"12/11/15",2.8,"$M"
15108650,"12/3/15",1.2,"$M"
15071199,"11/23/15",6.0,"$M"
79844263,"11/16/15",788000.0,"$"
52266124,"12/15/15",1.16,"$M"
15173423,"12/23/15",639000.0,"$"
15134371,"11/25/15",2.23,"$M"
15104496,"11/20/15",1.22,"$M"
15110823,"12/23/15",1.88,"$M"
15185372,"12/14/15",142000.0,"$"
2101505254,"12/3/15",1.4,"$M"
59779295,"11/16/15",1.57,"$M"
80756614,"1/21/16",925000.0,"$"
15112892,"12/2/15",1.1,"$M"
15185002,"12/21/15",1.7,"$M"
