"ID","Address","Latitude","Longitude","DateOfSale","SalePrice","IsAStudio","Beds","Baths","Size","LotSize","BuiltInYear"
15063471,"55 Vandewater St APT 9, San Francisco, CA",37.805103,-122.412856,"12/4/15",0.71,0.0,1.0,"",550.0,"",1980.0
15063505,"740 Francisco St, San Francisco, CA",37.80442,-122.417389,"11/30/15",2.15,0.0,"",2.0,1430.0,2435.0,1948.0
15063609,"819 Francisco St, San Francisco, CA",37.803728,-122.419055,"11/12/15",5.6,0.0,2.0,3.5,2040.0,3920.0,1976.0
15064044,"199 Chestnut St APT 5, San Francisco, CA",37.804392,-122.40659,"12/11/15",1.5,0.0,1.0,1.0,1060.0,"",1930.0
15064257,"111 Chestnut St APT 403, San Francisco, CA",37.80424,-122.405509,"1/15/16",0.97,0.0,2.0,2.0,1299.0,"",1993.0
15064295,"111 Chestnut St APT 702, San Francisco, CA",37.80424,-122.405509,"12/17/15",0.94,0.0,2.0,2.0,1033.0,"",1993.0
15064391,"1821 Grant Ave APT 101, San Francisco, CA",37.803748,-122.408531,"12/15/15",0.835,0.0,1.0,1.0,1048.0,"",1975.0
15064536,"2300 Leavenworth St, San Francisco, CA",37.802408,-122.417537,"12/4/15",2.83,0.0,3.0,2.0,2115.0,1271.0,1913.0
15064640,"1047-1049 Lombard St, San Francisco, CA",37.801889,-122.418704,"1/14/16",4.05,1.0,"","",4102.0,3049.0,1948.0
15064669,"1055 Lombard St # C, San Francisco, CA",37.801873,-122.418834,"12/31/15",2.19,0.0,2.0,3.0,1182.0,"",1986.0
15065032,"101 Lombard St APT 116E, San Francisco, CA",37.80347,-122.40409,"12/7/15",0.7999999999999999,0.0,1.0,1.0,1000.0,"",1983.0
15065140,"1407 Montgomery St APT 2, San Francisco, CA",37.802299,-122.404941,"1/28/16",0.976,0.0,1.0,1.0,1000.0,"",1870.0
15065727,"1360 Montgomery St APT 1, San Francisco, CA",37.801802,-122.404269,"11/16/15",0.72,0.0,1.0,1.0,552.0,"",1937.0
15065810,"1327-1329 Kearny St, San Francisco, CA",37.80026,-122.406123,"11/25/15",2.25,0.0,"",4.0,2658.0,1600.0,1906.0
15065946,"44 Macondray Ln APT 2E, San Francisco, CA",37.799474,-122.414835,"11/30/15",1.29,0.0,2.0,2.0,1165.0,"",1980.0
15066001,"1070 Green St APT 201, San Francisco, CA",37.798792,-122.416797,"11/18/15",2.9,0.0,2.0,2.0,1465.0,"",1963.0
15066036,"1070 Green St APT 1402, San Francisco, CA",37.798792,-122.416797,"12/31/15",2.6,0.0,3.0,2.5,2017.0,"",1963.0
15066085,"1907 Leavenworth St APT 8, San Francisco, CA",37.798645,-122.4175,"11/12/15",0.9079999999999999,0.0,2.0,1.0,956.0,"",1907.0
15066201,"1101 Green St # 303, San Francisco, CA",37.798234,-122.417394,"11/16/15",1.21,0.0,2.0,1.0,1003.0,"",1930.0
15066281,"1807 Jones St, San Francisco, CA",37.79792,-122.415745,"12/15/15",1.7,0.0,2.0,2.0,1467.0,3023.0,1922.0
15066344,"999 Green St APT 905, San Francisco, CA",37.798451,-122.415218,"12/10/15",1.28,0.0,1.0,1.0,986.0,"",1964.0
15066608,"455 Vallejo St APT 111, San Francisco, CA",37.798796,-122.404766,"12/16/15",0.875,0.0,1.0,1.0,825.0,"",1973.0
15066839,"1163-1165 Vallejo St, San Francisco, CA",37.797445,-122.416366,"12/1/15",0.3,0.0,"",2.0,2344.0,1376.0,1913.0
15066959,"1300 Pacific Ave, San Francisco, CA",37.795805,-122.41684,"1/14/16",0.425,1.0,"",2.0,989.0,"",1910.0
15067302,"948 Jackson St, San Francisco, CA",37.795662,-122.410789,"11/13/15",1.95,0.0,"",4.0,4362.0,1459.0,1908.0
15067583,"946 Stockton St APT 6B, San Francisco, CA",37.794715,-122.40781,"12/18/15",0.7749999999999999,0.0,"",2.0,710.0,"",1970.0
15067604,"946 Stockton St APT 9E, San Francisco, CA",37.794715,-122.40781,"12/2/15",0.705,0.0,2.0,2.0,744.0,"",1970.0
15067755,"1250 Clay St APT 306, San Francisco, CA",37.793575,-122.41367,"1/10/16",0.695,0.0,1.0,1.0,541.0,"",1950.0
15067890,"1250 Jones St APT 503, San Francisco, CA",37.793071,-122.414049,"12/4/15",1.41,0.0,1.0,1.0,1250.0,"",1929.0
15067896,"1250 Jones St APT 802, San Francisco, CA",37.793071,-122.414049,"12/15/15",1.68,0.0,1.0,1.0,1115.0,"",1929.0
15068039,"1170 Sacramento St APT 9B, San Francisco, CA",37.79293,-122.412195,"12/3/15",3.8,0.0,2.0,2.0,1961.0,"",1963.0
15068514,"1177 California St APT 702, San Francisco, CA",37.791089,-122.413658,"12/18/15",0.6649999999999999,0.0,1.0,1.0,511.0,"",1978.0
15068551,"1177 California St APT 501, San Francisco, CA",37.791089,-122.413658,"12/15/15",0.8999999999999999,0.0,1.0,1.0,884.0,"",1978.0
15068580,"1177 California St APT 423, San Francisco, CA",37.791089,-122.413658,"12/29/15",0.738,1.0,"",1.0,706.0,"",1978.0
15068592,"1177 California St APT 304, San Francisco, CA",37.791089,-122.413658,"12/1/15",0.7899999999999999,0.0,1.0,1.0,645.0,"",1977.0
15068767,"767-771 Pine St, San Francisco, CA",37.790971,-122.408473,"12/31/15",2.49,0.0,"",4.0,4605.0,1376.0,1909.0
15068857,"1001 Pine St APT 608, San Francisco, CA",37.790348,-122.412568,"12/7/15",0.535,1.0,"",1.0,450.0,"",1964.0
15068874,"1001 Pine St APT 801, San Francisco, CA",37.790348,-122.412568,"12/24/15",0.65,0.0,"",1.0,650.0,"",1963.0
15069276,"795 Sutter St # 303, San Francisco, CA",37.788404,-122.41326,"11/15/15",1.2,0.0,3.0,2.0,1753.0,"",1913.0
15069477,"631 Ofarrell St APT 816, San Francisco, CA",37.78524,-122.415125,"12/18/15",0.485,1.0,"",1.0,480.0,"",1930.0
15069628,"47-49 Casa Way, San Francisco, CA",37.805371,-122.439029,"11/25/15",3.8,0.0,3.0,"",3905.0,2748.0,1939.0
15069883,"59 Rico Way, San Francisco, CA",37.804909,-122.43965,"12/21/15",2.55,0.0,3.0,1.5,1675.0,2613.0,1925.0
15070227,"134 Alhambra St, San Francisco, CA",37.802318,-122.438801,"1/18/16",3.08,0.0,3.0,3.0,2599.0,3005.0,1925.0
15070235,"180 Alhambra St, San Francisco, CA",37.801939,-122.439299,"12/7/15",3.33,0.0,"",2.0,2864.0,2286.0,1925.0
15070255,"146 Avila St, San Francisco, CA",37.801998,-122.440411,"12/23/15",3.02,0.0,3.0,3.0,2100.0,2495.0,1924.0
15070544,"1051-1053 Francisco St, San Francisco, CA",37.803239,-122.422458,"12/1/15",9.71,0.0,5.0,6.0,4650.0,4726.0,1953.0
15070728,"3315 Pierce St, San Francisco, CA",37.80065,-122.439786,"1/6/16",2.5,0.0,3.0,3.5,2255.0,2500.0,1925.0
15070807,"1763-1765 Chestnut St, San Francisco, CA",37.801061,-122.432273,"12/1/15",1.38,0.0,"",3.0,3260.0,3000.0,1920.0
15071012,"2701 Van Ness Ave APT 207, San Francisco, CA",37.800573,-122.424849,"11/30/15",0.885,0.0,"",1.0,885.0,"",1929.0
15071070,"2701 Van Ness Ave APT 702, San Francisco, CA",37.800573,-122.424849,"12/2/15",0.718,0.0,"",1.0,793.0,"",1929.0
15071199,"2374-2376 Greenwich St, San Francisco, CA",37.79882,-122.438743,"11/23/15",6.0,0.0,4.0,5.0,4178.0,2495.0,1938.0
15071224,"3126 Scott St APT 2, San Francisco, CA",37.798778,-122.440578,"12/7/15",1.35,0.0,2.0,2.0,1367.0,"",1970.0
15071286,"3038 Pierce St, San Francisco, CA",37.79814,-122.438775,"12/7/15",1.15,0.0,2.0,2.0,1150.0,"",1906.0
15071577,"1374 Union St, San Francisco, CA",37.79887,-122.421845,"12/2/15",3.0,0.0,3.0,3.5,3105.0,"",1907.0
15072128,"1438 Green St UNIT 5A, San Francisco, CA",37.798116,-122.42288,"12/18/15",1.28,0.0,2.0,2.0,1206.0,"",1998.0
15072153,"1353 Green St, San Francisco, CA",37.797685,-122.421335,"11/24/15",2.3,0.0,2.0,2.0,1764.0,"",1941.0
15072263,"1795 Green St, San Francisco, CA",37.79678,-122.428519,"11/20/15",2.5,0.0,3.0,2.0,1647.0,"",1908.0
15072504,"2660 Scott St, San Francisco, CA",37.794473,-122.439703,"12/8/15",13.1,0.0,7.0,8.0,9190.0,5623.0,1908.0
15072510,"2535 Vallejo St, San Francisco, CA",37.794444,-122.438979,"11/23/15",5.6,0.0,"",4.0,4065.0,3781.0,1908.0
15072951,"1770 Pacific Ave APT 103, San Francisco, CA",37.794927,-122.424508,"11/25/15",1.76,0.0,2.0,2.0,1500.0,"",1902.0
15072997,"1896 Pacific Ave APT 802, San Francisco, CA",37.794706,-122.426347,"12/15/15",0.25,0.0,2.0,2.5,2272.0,"",1924.0
15073090,"2002 Pacific Ave APT 4, San Francisco, CA",37.794429,-122.428513,"1/20/16",4.2,0.0,3.0,3.5,3291.0,"",1961.0
15073657,"1895 Pacific Ave APT 506, San Francisco, CA",37.794168,-122.426243,"11/20/15",0.975,0.0,1.0,1.0,1165.0,"",1931.0
15074158,"1945 Washington St APT 411, San Francisco, CA",37.792472,-122.425281,"12/16/15",0.6649999999999999,0.0,1.0,1.0,653.0,"",1987.0
15074306,"1950 Gough St APT 306, San Francisco, CA",37.791558,-122.425677,"12/21/15",1.15,0.0,1.0,1.0,1000.0,"",1926.0
